order_id: o_00000, user_id: u_0000000001, prod_id: 1480449, order_time: 01-01-2022_07:53:05
order_id: o_00032, user_id: u_0000000009, prod_id: 1626964, order_time: 11-01-2022_20:11:45
order_id: o_00033, user_id: u_0000000005, prod_id: 1355351, order_time: 12-01-2022_04:04:50
order_id: o_00034, user_id: u_0000000008, prod_id: 1569121, order_time: 12-01-2022_11:57:55
order_id: o_00035, user_id: u_0000000004, prod_id: 1582344, order_time: 12-01-2022_19:51:00
order_id: o_00036, user_id: u_0000000010, prod_id: 1127676, order_time: 13-01-2022_03:44:05
order_id: o_00037, user_id: u_0000000002, prod_id: 1141006, order_time: 13-01-2022_11:37:10
order_id: o_00038, user_id: u_0000000007, prod_id: 1692770, order_time: 13-01-2022_19:30:15
order_id: o_00039, user_id: u_0000000010, prod_id: 1611143, order_time: 14-01-2022_03:23:20
order_id: o_00040, user_id: u_0000000006, prod_id: 1073130, order_time: 14-01-2022_11:16:25
order_id: o_00041, user_id: u_0000000006, prod_id: 1711611, order_time: 14-01-2022_19:09:30
order_id: o_00042, user_id: u_0000000004, prod_id: 1321385, order_time: 15-01-2022_03:02:35
order_id: o_00043, user_id: u_0000000006, prod_id: 1629496, order_time: 15-01-2022_10:55:40
order_id: o_00044, user_id: u_0000000001, prod_id: 1591724, order_time: 15-01-2022_18:48:45
order_id: o_00045, user_id: u_0000000002, prod_id: 1458985, order_time: 16-01-2022_02:41:50
order_id: o_00046, user_id: u_0000000002, prod_id: 1682898, order_time: 16-01-2022_10:34:55
order_id: o_00047, user_id: u_0000000010, prod_id: 1664266, order_time: 16-01-2022_18:28:00
order_id: o_00048, user_id: u_0000000004, prod_id: 1135062, order_time: 17-01-2022_02:21:05
order_id: o_00049, user_id: u_0000000009, prod_id: 1236692, order_time: 17-01-2022_10:14:10
order_id: o_00050, user_id: u_0000000007, prod_id: 1155961, order_time: 17-01-2022_18:07:15
order_id: o_00051, user_id: u_0000000001, prod_id: 1339065, order_time: 18-01-2022_02:00:20
order_id: o_00052, user_id: u_0000000006, prod_id: 1453169, order_time: 18-01-2022_09:53:25
order_id: o_00053, user_id: u_0000000006, prod_id: 1333964, order_time: 18-01-2022_17:46:30
order_id: o_00054, user_id: u_0000000005, prod_id: 1294142, order_time: 19-01-2022_01:39:35
order_id: o_00055, user_id: u_0000000006, prod_id: 1078966, order_time: 19-01-2022_09:32:40
order_id: o_00056, user_id: u_0000000008, prod_id: 1383665, order_time: 19-01-2022_17:25:45
order_id: o_00057, user_id: u_0000000009, prod_id: 1409639, order_time: 20-01-2022_01:18:50
order_id: o_00058, user_id: u_0000000002, prod_id: 1603892, order_time: 20-01-2022_09:11:55
order_id: o_00059, user_id: u_0000000009, prod_id: 1083511, order_time: 20-01-2022_17:05:00
order_id: o_00060, user_id: u_0000000004, prod_id: 1504260, order_time: 21-01-2022_00:58:05
order_id: o_00061, user_id: u_0000000010, prod_id: 1550247, order_time: 21-01-2022_08:51:10
order_id: o_00062, user_id: u_0000000006, prod_id: 1708916, order_time: 21-01-2022_16:44:15
order_id: o_00063, user_id: u_0000000008, prod_id: 1412784, order_time: 22-01-2022_00:37:20
order_id: o_00064, user_id: u_0000000002, prod_id: 1542872, order_time: 22-01-2022_08:30:25
order_id: o_00065, user_id: u_0000000005, prod_id: 1259885, order_time: 22-01-2022_16:23:30
order_id: o_00066, user_id: u_0000000009, prod_id: 1335929, order_time: 23-01-2022_00:16:35
order_id: o_00067, user_id: u_0000000007, prod_id: 1064157, order_time: 23-01-2022_08:09:40
order_id: o_00068, user_id: u_0000000005, prod_id: 1375251, order_time: 23-01-2022_16:02:45
order_id: o_00069, user_id: u_0000000009, prod_id: 965037, order_time: 23-01-2022_23:55:50
order_id: o_00070, user_id: u_0000000001, prod_id: 1436763, order_time: 24-01-2022_07:48:55
order_id: o_00071, user_id: u_0000000004, prod_id: 1372381, order_time: 24-01-2022_15:42:00
order_id: o_00072, user_id: u_0000000005, prod_id: 1285039, order_time: 24-01-2022_23:35:05
order_id: o_00073, user_id: u_0000000005, prod_id: 1566805, order_time: 25-01-2022_07:28:10
order_id: o_00074, user_id: u_0000000002, prod_id: 1319512, order_time: 25-01-2022_15:21:15
order_id: o_00075, user_id: u_0000000003, prod_id: 1283426, order_time: 25-01-2022_23:14:20
order_id: o_00076, user_id: u_0000000001, prod_id: 1564480, order_time: 26-01-2022_07:07:25
order_id: o_00077, user_id: u_0000000005, prod_id: 1294185, order_time: 26-01-2022_15:00:30
order_id: o_00078, user_id: u_0000000003, prod_id: 1158573, order_time: 26-01-2022_22:53:35
order_id: o_00079, user_id: u_0000000008, prod_id: 1576245, order_time: 27-01-2022_06:46:40
order_id: o_00080, user_id: u_0000000004, prod_id: 1565867, order_time: 27-01-2022_14:39:45
order_id: o_00081, user_id: u_0000000006, prod_id: 1325012, order_time: 27-01-2022_22:32:50
order_id: o_00082, user_id: u_0000000006, prod_id: 1382328, order_time: 28-01-2022_06:25:55
order_id: o_00083, user_id: u_0000000010, prod_id: 1189359, order_time: 28-01-2022_14:19:00
order_id: o_00084, user_id: u_0000000007, prod_id: 1685980, order_time: 28-01-2022_22:12:05
order_id: o_00085, user_id: u_0000000009, prod_id: 1330171, order_time: 29-01-2022_06:05:10
order_id: o_00086, user_id: u_0000000006, prod_id: 1377864, order_time: 29-01-2022_13:58:15
order_id: o_00087, user_id: u_0000000004, prod_id: 1498308, order_time: 29-01-2022_21:51:20
order_id: o_00088, user_id: u_0000000004, prod_id: 1305427, order_time: 30-01-2022_05:44:25
order_id: o_00089, user_id: u_0000000007, prod_id: 1217024, order_time: 30-01-2022_13:37:30
order_id: o_00090, user_id: u_0000000004, prod_id: 1720363, order_time: 30-01-2022_21:30:35
order_id: o_00091, user_id: u_0000000007, prod_id: 1365344, order_time: 31-01-2022_05:23:40
order_id: o_00092, user_id: u_0000000010, prod_id: 1682399, order_time: 31-01-2022_13:16:45
order_id: o_00093, user_id: u_0000000010, prod_id: 1274642, order_time: 31-01-2022_21:09:50
order_id: o_00094, user_id: u_0000000008, prod_id: 1326297, order_time: 01-02-2022_05:02:55
order_id: o_00095, user_id: u_0000000003, prod_id: 1291173, order_time: 01-02-2022_12:56:00
order_id: o_00096, user_id: u_0000000003, prod_id: 1590728, order_time: 01-02-2022_20:49:05
order_id: o_00097, user_id: u_0000000002, prod_id: 1299900, order_time: 02-02-2022_04:42:10
order_id: o_00098, user_id: u_0000000007, prod_id: 1713462, order_time: 02-02-2022_12:35:15
order_id: o_00099, user_id: u_0000000009, prod_id: 1173457, order_time: 02-02-2022_20:28:20
order_id: o_00100, user_id: u_0000000008, prod_id: 1584681, order_time: 03-02-2022_04:21:25
order_id: o_00101, user_id: u_0000000006, prod_id: 1297182, order_time: 03-02-2022_12:14:30
order_id: o_00102, user_id: u_0000000005, prod_id: 1321126, order_time: 03-02-2022_20:07:35
order_id: o_00103, user_id: u_0000000009, prod_id: 1206164, order_time: 04-02-2022_04:00:40
order_id: o_00104, user_id: u_0000000008, prod_id: 1523889, order_time: 04-02-2022_11:53:45
order_id: o_00105, user_id: u_0000000004, prod_id: 1660301, order_time: 04-02-2022_19:46:50
order_id: o_00106, user_id: u_0000000006, prod_id: 1694575, order_time: 05-02-2022_03:39:55
order_id: o_00107, user_id: u_0000000001, prod_id: 1448318, order_time: 05-02-2022_11:33:00
order_id: o_00108, user_id: u_0000000001, prod_id: 1658418, order_time: 05-02-2022_19:26:05
order_id: o_00109, user_id: u_0000000002, prod_id: 1511723, order_time: 06-02-2022_03:19:10
order_id: o_00110, user_id: u_0000000002, prod_id: 1362341, order_time: 06-02-2022_11:12:15
order_id: o_00111, user_id: u_0000000007, prod_id: 1577807, order_time: 06-02-2022_19:05:20
order_id: o_00112, user_id: u_0000000006, prod_id: 1193702, order_time: 07-02-2022_02:58:25
order_id: o_00113, user_id: u_0000000005, prod_id: 1672690, order_time: 07-02-2022_10:51:30
order_id: o_00114, user_id: u_0000000010, prod_id: 1419876, order_time: 07-02-2022_18:44:35
order_id: o_00115, user_id: u_0000000002, prod_id: 1212216, order_time: 08-02-2022_02:37:40
order_id: o_00116, user_id: u_0000000001, prod_id: 1381693, order_time: 08-02-2022_10:30:45
order_id: o_00117, user_id: u_0000000004, prod_id: 1640618, order_time: 08-02-2022_18:23:50
order_id: o_00118, user_id: u_0000000008, prod_id: 1657949, order_time: 09-02-2022_02:16:55
order_id: o_00119, user_id: u_0000000010, prod_id: 1475208, order_time: 09-02-2022_10:10:00
order_id: o_00120, user_id: u_0000000009, prod_id: 1583961, order_time: 09-02-2022_18:03:05
order_id: o_00121, user_id: u_0000000008, prod_id: 1391431, order_time: 10-02-2022_01:56:10
order_id: o_00122, user_id: u_0000000004, prod_id: 1591158, order_time: 10-02-2022_09:49:15
order_id: o_00123, user_id: u_0000000002, prod_id: 1710791, order_time: 10-02-2022_17:42:20
order_id: o_00124, user_id: u_0000000001, prod_id: 1674426, order_time: 11-02-2022_01:35:25
order_id: o_00125, user_id: u_0000000001, prod_id: 1418349, order_time: 11-02-2022_09:28:30
order_id: o_00126, user_id: u_0000000005, prod_id: 1713501, order_time: 11-02-2022_17:21:35
order_id: o_00127, user_id: u_0000000001, prod_id: 1262469, order_time: 12-02-2022_01:14:40
order_id: o_00128, user_id: u_0000000002, prod_id: 1308316, order_time: 12-02-2022_09:07:45
order_id: o_00129, user_id: u_0000000002, prod_id: 1234021, order_time: 12-02-2022_17:00:50
order_id: o_00130, user_id: u_0000000006, prod_id: 1274532, order_time: 13-02-2022_00:53:55
order_id: o_00131, user_id: u_0000000004, prod_id: 1423589, order_time: 13-02-2022_08:47:00
order_id: o_00132, user_id: u_0000000004, prod_id: 1685699, order_time: 13-02-2022_16:40:05
order_id: o_00133, user_id: u_0000000008, prod_id: 1302363, order_time: 14-02-2022_00:33:10
order_id: o_00134, user_id: u_0000000008, prod_id: 1233749, order_time: 14-02-2022_08:26:15
order_id: o_00135, user_id: u_0000000004, prod_id: 1436422, order_time: 14-02-2022_16:19:20
order_id: o_00136, user_id: u_0000000007, prod_id: 1192035, order_time: 15-02-2022_00:12:25
order_id: o_00137, user_id: u_0000000002, prod_id: 948714, order_time: 15-02-2022_08:05:30
order_id: o_00138, user_id: u_0000000008, prod_id: 1658900, order_time: 15-02-2022_15:58:35
order_id: o_00139, user_id: u_0000000007, prod_id: 1708335, order_time: 15-02-2022_23:51:40
order_id: o_00140, user_id: u_0000000008, prod_id: 1709082, order_time: 16-02-2022_07:44:45
order_id: o_00141, user_id: u_0000000003, prod_id: 1336716, order_time: 16-02-2022_15:37:50
order_id: o_00142, user_id: u_0000000010, prod_id: 1227442, order_time: 16-02-2022_23:30:55
order_id: o_00143, user_id: u_0000000006, prod_id: 1342133, order_time: 17-02-2022_07:24:00
order_id: o_00144, user_id: u_0000000002, prod_id: 977579, order_time: 17-02-2022_15:17:05
order_id: o_00145, user_id: u_0000000005, prod_id: 1381360, order_time: 17-02-2022_23:10:10
order_id: o_00146, user_id: u_0000000003, prod_id: 1384456, order_time: 18-02-2022_07:03:15
order_id: o_00147, user_id: u_0000000001, prod_id: 1668192, order_time: 18-02-2022_14:56:20
order_id: o_00148, user_id: u_0000000007, prod_id: 1305321, order_time: 18-02-2022_22:49:25
order_id: o_00149, user_id: u_0000000010, prod_id: 1283682, order_time: 19-02-2022_06:42:30
order_id: o_00150, user_id: u_0000000005, prod_id: 1586050, order_time: 19-02-2022_14:35:35
order_id: o_00151, user_id: u_0000000003, prod_id: 1041761, order_time: 19-02-2022_22:28:40
order_id: o_00152, user_id: u_0000000003, prod_id: 1332623, order_time: 20-02-2022_06:21:45
order_id: o_00153, user_id: u_0000000007, prod_id: 976190, order_time: 20-02-2022_14:14:50
order_id: o_00154, user_id: u_0000000005, prod_id: 1397005, order_time: 20-02-2022_22:07:55
order_id: o_00155, user_id: u_0000000005, prod_id: 1659227, order_time: 21-02-2022_06:01:00
order_id: o_00156, user_id: u_0000000001, prod_id: 1699579, order_time: 21-02-2022_13:54:05
order_id: o_00157, user_id: u_0000000009, prod_id: 1313086, order_time: 21-02-2022_21:47:10
order_id: o_00158, user_id: u_0000000007, prod_id: 1305465, order_time: 22-02-2022_05:40:15
order_id: o_00159, user_id: u_0000000001, prod_id: 1676415, order_time: 22-02-2022_13:33:20
order_id: o_00160, user_id: u_0000000010, prod_id: 1420462, order_time: 22-02-2022_21:26:25
order_id: o_00161, user_id: u_0000000002, prod_id: 1701107, order_time: 23-02-2022_05:19:30
order_id: o_00162, user_id: u_0000000010, prod_id: 1560155, order_time: 23-02-2022_13:12:35
order_id: o_00163, user_id: u_0000000005, prod_id: 1354920, order_time: 23-02-2022_21:05:40
order_id: o_00164, user_id: u_0000000008, prod_id: 1316855, order_time: 24-02-2022_04:58:45
order_id: o_00165, user_id: u_0000000005, prod_id: 1031798, order_time: 24-02-2022_12:51:50
order_id: o_00166, user_id: u_0000000001, prod_id: 1439112, order_time: 24-02-2022_20:44:55
order_id: o_00167, user_id: u_0000000002, prod_id: 1659514, order_time: 25-02-2022_04:38:00
order_id: o_00168, user_id: u_0000000009, prod_id: 1456364, order_time: 25-02-2022_12:31:05
order_id: o_00169, user_id: u_0000000009, prod_id: 1708073, order_time: 25-02-2022_20:24:10
order_id: o_00170, user_id: u_0000000001, prod_id: 1662573, order_time: 26-02-2022_04:17:15
order_id: o_00171, user_id: u_0000000003, prod_id: 1716955, order_time: 26-02-2022_12:10:20
order_id: o_00172, user_id: u_0000000009, prod_id: 1188511, order_time: 26-02-2022_20:03:25
order_id: o_00173, user_id: u_0000000004, prod_id: 1686059, order_time: 27-02-2022_03:56:30
order_id: o_00174, user_id: u_0000000008, prod_id: 1536190, order_time: 27-02-2022_11:49:35
order_id: o_00175, user_id: u_0000000007, prod_id: 1645264, order_time: 27-02-2022_19:42:40
order_id: o_00176, user_id: u_0000000007, prod_id: 1519442, order_time: 28-02-2022_03:35:45
order_id: o_00177, user_id: u_0000000005, prod_id: 1461427, order_time: 28-02-2022_11:28:50
order_id: o_00178, user_id: u_0000000008, prod_id: 1327940, order_time: 28-02-2022_19:21:55
order_id: o_00179, user_id: u_0000000002, prod_id: 1241722, order_time: 01-03-2022_03:15:00
order_id: o_00180, user_id: u_0000000008, prod_id: 1202781, order_time: 01-03-2022_11:08:05
order_id: o_00181, user_id: u_0000000003, prod_id: 1157738, order_time: 01-03-2022_19:01:10
order_id: o_00182, user_id: u_0000000001, prod_id: 1360678, order_time: 02-03-2022_02:54:15
order_id: o_00183, user_id: u_0000000006, prod_id: 1312358, order_time: 02-03-2022_10:47:20
order_id: o_00184, user_id: u_0000000006, prod_id: 1312292, order_time: 02-03-2022_18:40:25
order_id: o_00185, user_id: u_0000000008, prod_id: 1654462, order_time: 03-03-2022_02:33:30
order_id: o_00186, user_id: u_0000000001, prod_id: 1632104, order_time: 03-03-2022_10:26:35
order_id: o_00187, user_id: u_0000000004, prod_id: 1369866, order_time: 03-03-2022_18:19:40
order_id: o_00188, user_id: u_0000000001, prod_id: 1579342, order_time: 04-03-2022_02:12:45
order_id: o_00189, user_id: u_0000000009, prod_id: 1665277, order_time: 04-03-2022_10:05:50
order_id: o_00190, user_id: u_0000000003, prod_id: 986376, order_time: 04-03-2022_17:58:55
order_id: o_00191, user_id: u_0000000002, prod_id: 1661153, order_time: 05-03-2022_01:52:00
order_id: o_00192, user_id: u_0000000006, prod_id: 1189068, order_time: 05-03-2022_09:45:05
order_id: o_00193, user_id: u_0000000010, prod_id: 1713130, order_time: 05-03-2022_17:38:10
order_id: o_00194, user_id: u_0000000006, prod_id: 1434361, order_time: 06-03-2022_01:31:15
order_id: o_00195, user_id: u_0000000003, prod_id: 1165902, order_time: 06-03-2022_09:24:20
order_id: o_00196, user_id: u_0000000010, prod_id: 1551380, order_time: 06-03-2022_17:17:25
order_id: o_00197, user_id: u_0000000010, prod_id: 1206598, order_time: 07-03-2022_01:10:30
order_id: o_00198, user_id: u_0000000003, prod_id: 1351570, order_time: 07-03-2022_09:03:35
order_id: o_00199, user_id: u_0000000007, prod_id: 1681615, order_time: 07-03-2022_16:56:40
order_id: o_00200, user_id: u_0000000008, prod_id: 1266138, order_time: 08-03-2022_00:49:45
order_id: o_00201, user_id: u_0000000009, prod_id: 1182251, order_time: 08-03-2022_08:42:50
order_id: o_00202, user_id: u_0000000009, prod_id: 1603180, order_time: 08-03-2022_16:35:55
order_id: o_00203, user_id: u_0000000010, prod_id: 1678047, order_time: 09-03-2022_00:29:00
order_id: o_00204, user_id: u_0000000006, prod_id: 1254037, order_time: 09-03-2022_08:22:05
order_id: o_00205, user_id: u_0000000002, prod_id: 1712342, order_time: 09-03-2022_16:15:10
order_id: o_00206, user_id: u_0000000001, prod_id: 1358909, order_time: 10-03-2022_00:08:15
order_id: o_00207, user_id: u_0000000010, prod_id: 1632013, order_time: 10-03-2022_08:01:20
order_id: o_00208, user_id: u_0000000005, prod_id: 1669791, order_time: 10-03-2022_15:54:25
order_id: o_00209, user_id: u_0000000009, prod_id: 1254566, order_time: 10-03-2022_23:47:30
order_id: o_00210, user_id: u_0000000005, prod_id: 1327836, order_time: 11-03-2022_07:40:35
order_id: o_00211, user_id: u_0000000001, prod_id: 1581640, order_time: 11-03-2022_15:33:40
order_id: o_00212, user_id: u_0000000007, prod_id: 1150903, order_time: 11-03-2022_23:26:45
order_id: o_00213, user_id: u_0000000007, prod_id: 1565450, order_time: 12-03-2022_07:19:50
order_id: o_00214, user_id: u_0000000006, prod_id: 1567380, order_time: 12-03-2022_15:12:55
order_id: o_00215, user_id: u_0000000002, prod_id: 1585166, order_time: 12-03-2022_23:06:00
order_id: o_00216, user_id: u_0000000003, prod_id: 1670324, order_time: 13-03-2022_06:59:05
order_id: o_00217, user_id: u_0000000008, prod_id: 1685251, order_time: 13-03-2022_14:52:10
order_id: o_00218, user_id: u_0000000008, prod_id: 1709989, order_time: 13-03-2022_22:45:15
order_id: o_00219, user_id: u_0000000005, prod_id: 1105603, order_time: 14-03-2022_06:38:20
order_id: o_00220, user_id: u_0000000004, prod_id: 1706734, order_time: 14-03-2022_14:31:25
order_id: o_00221, user_id: u_0000000002, prod_id: 1582289, order_time: 14-03-2022_22:24:30
order_id: o_00222, user_id: u_0000000002, prod_id: 1722001, order_time: 15-03-2022_06:17:35
order_id: o_00223, user_id: u_0000000005, prod_id: 1696029, order_time: 15-03-2022_14:10:40
order_id: o_00224, user_id: u_0000000001, prod_id: 954677, order_time: 15-03-2022_22:03:45
order_id: o_00225, user_id: u_0000000010, prod_id: 1624730, order_time: 16-03-2022_05:56:50
order_id: o_00226, user_id: u_0000000009, prod_id: 1695167, order_time: 16-03-2022_13:49:55
order_id: o_00227, user_id: u_0000000001, prod_id: 1528773, order_time: 16-03-2022_21:43:00
order_id: o_00228, user_id: u_0000000010, prod_id: 1680887, order_time: 17-03-2022_05:36:05
order_id: o_00229, user_id: u_0000000002, prod_id: 1666703, order_time: 17-03-2022_13:29:10
order_id: o_00230, user_id: u_0000000003, prod_id: 1556236, order_time: 17-03-2022_21:22:15
order_id: o_00231, user_id: u_0000000008, prod_id: 1416719, order_time: 18-03-2022_05:15:20
order_id: o_00232, user_id: u_0000000002, prod_id: 1045430, order_time: 18-03-2022_13:08:25
order_id: o_00233, user_id: u_0000000006, prod_id: 1362712, order_time: 18-03-2022_21:01:30
order_id: o_00234, user_id: u_0000000004, prod_id: 1535202, order_time: 19-03-2022_04:54:35
order_id: o_00235, user_id: u_0000000001, prod_id: 1520036, order_time: 19-03-2022_12:47:40
order_id: o_00236, user_id: u_0000000005, prod_id: 1697168, order_time: 19-03-2022_20:40:45
order_id: o_00237, user_id: u_0000000006, prod_id: 1270051, order_time: 20-03-2022_04:33:50
order_id: o_00238, user_id: u_0000000010, prod_id: 1667365, order_time: 20-03-2022_12:26:55
order_id: o_00239, user_id: u_0000000009, prod_id: 1079269, order_time: 20-03-2022_20:20:00
order_id: o_00240, user_id: u_0000000002, prod_id: 1714484, order_time: 21-03-2022_04:13:05
order_id: o_00241, user_id: u_0000000001, prod_id: 1708973, order_time: 21-03-2022_12:06:10
order_id: o_00242, user_id: u_0000000008, prod_id: 1526967, order_time: 21-03-2022_19:59:15
order_id: o_00243, user_id: u_0000000005, prod_id: 1001275, order_time: 22-03-2022_03:52:20
order_id: o_00244, user_id: u_0000000007, prod_id: 1471878, order_time: 22-03-2022_11:45:25
order_id: o_00245, user_id: u_0000000006, prod_id: 1708335, order_time: 22-03-2022_19:38:30
order_id: o_00246, user_id: u_0000000002, prod_id: 1291990, order_time: 23-03-2022_03:31:35
order_id: o_00247, user_id: u_0000000003, prod_id: 1672967, order_time: 23-03-2022_11:24:40
order_id: o_00248, user_id: u_0000000005, prod_id: 1635749, order_time: 23-03-2022_19:17:45
order_id: o_00249, user_id: u_0000000007, prod_id: 1256782, order_time: 24-03-2022_03:10:50
order_id: o_00250, user_id: u_0000000003, prod_id: 1716418, order_time: 24-03-2022_11:03:55
order_id: o_00251, user_id: u_0000000010, prod_id: 1140833, order_time: 24-03-2022_18:57:00
order_id: o_00252, user_id: u_0000000008, prod_id: 1118636, order_time: 25-03-2022_02:50:05
order_id: o_00253, user_id: u_0000000005, prod_id: 1290911, order_time: 25-03-2022_10:43:10
order_id: o_00254, user_id: u_0000000001, prod_id: 1076208, order_time: 25-03-2022_18:36:15
order_id: o_00255, user_id: u_0000000004, prod_id: 1381358, order_time: 26-03-2022_02:29:20
order_id: o_00256, user_id: u_0000000008, prod_id: 1568493, order_time: 26-03-2022_10:22:25
order_id: o_00257, user_id: u_0000000003, prod_id: 1691479, order_time: 26-03-2022_18:15:30
order_id: o_00258, user_id: u_0000000008, prod_id: 1332218, order_time: 27-03-2022_02:08:35
order_id: o_00259, user_id: u_0000000006, prod_id: 1600203, order_time: 27-03-2022_10:01:40
order_id: o_00260, user_id: u_0000000001, prod_id: 1718813, order_time: 27-03-2022_17:54:45
order_id: o_00261, user_id: u_0000000009, prod_id: 1357619, order_time: 28-03-2022_01:47:50
order_id: o_00262, user_id: u_0000000001, prod_id: 1203024, order_time: 28-03-2022_09:40:55
order_id: o_00263, user_id: u_0000000003, prod_id: 1348581, order_time: 28-03-2022_17:34:00
order_id: o_00264, user_id: u_0000000005, prod_id: 1530364, order_time: 29-03-2022_01:27:05
order_id: o_00265, user_id: u_0000000002, prod_id: 1662885, order_time: 29-03-2022_09:20:10
order_id: o_00266, user_id: u_0000000010, prod_id: 1410470, order_time: 29-03-2022_17:13:15
order_id: o_00267, user_id: u_0000000001, prod_id: 1233026, order_time: 30-03-2022_01:06:20
order_id: o_00268, user_id: u_0000000004, prod_id: 1421896, order_time: 30-03-2022_08:59:25
order_id: o_00269, user_id: u_0000000005, prod_id: 1556454, order_time: 30-03-2022_16:52:30
order_id: o_00270, user_id: u_0000000004, prod_id: 1708335, order_time: 31-03-2022_00:45:35
order_id: o_00271, user_id: u_0000000005, prod_id: 1087412, order_time: 31-03-2022_08:38:40
order_id: o_00272, user_id: u_0000000002, prod_id: 1574195, order_time: 31-03-2022_16:31:45
order_id: o_00273, user_id: u_0000000006, prod_id: 1549924, order_time: 01-04-2022_00:24:50
order_id: o_00274, user_id: u_0000000006, prod_id: 1693364, order_time: 01-04-2022_08:17:55
order_id: o_00275, user_id: u_0000000006, prod_id: 1026321, order_time: 01-04-2022_16:11:00
order_id: o_00276, user_id: u_0000000004, prod_id: 1445868, order_time: 02-04-2022_00:04:05
order_id: o_00277, user_id: u_0000000007, prod_id: 1685596, order_time: 02-04-2022_07:57:10
order_id: o_00278, user_id: u_0000000002, prod_id: 1223890, order_time: 02-04-2022_15:50:15
order_id: o_00279, user_id: u_0000000001, prod_id: 1302864, order_time: 02-04-2022_23:43:20
order_id: o_00280, user_id: u_0000000007, prod_id: 1202670, order_time: 03-04-2022_06:36:25
order_id: o_00281, user_id: u_0000000003, prod_id: 1165953, order_time: 03-04-2022_14:29:30
order_id: o_00282, user_id: u_0000000003, prod_id: 1703503, order_time: 03-04-2022_22:22:35
order_id: o_00283, user_id: u_0000000007, prod_id: 1554452, order_time: 04-04-2022_06:15:40
order_id: o_00284, user_id: u_0000000003, prod_id: 1209205, order_time: 04-04-2022_14:08:45
order_id: o_00285, user_id: u_0000000003, prod_id: 1468341, order_time: 04-04-2022_22:01:50
order_id: o_00286, user_id: u_0000000002, prod_id: 1607652, order_time: 05-04-2022_05:54:55
order_id: o_00287, user_id: u_0000000004, prod_id: 1660457, order_time: 05-04-2022_13:48:00
order_id: o_00288, user_id: u_0000000009, prod_id: 1576946, order_time: 05-04-2022_21:41:05
order_id: o_00289, user_id: u_0000000007, prod_id: 1649596, order_time: 06-04-2022_05:34:10
